pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
160.84,-123.12,90.0,top,C1,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,470nF,tht
125.04,-109.48,0.0,top,C2,,,C_Radial_D6.3mm_H7.0mm_P2.50mm,10µF,tht
141.193734,-108.384665,90.0,top,C3,,,CP_Radial_D8.0mm_P5.00mm,100µF,tht
158.393734,-97.387316,90.0,top,C4,,,CP_Radial_D8.0mm_P5.00mm,100µF,tht
161.793734,-87.984665,180.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,10µF,tht
125.04,-103.48,0.0,top,C6,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
140.04,-115.48,-90.0,top,C7,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
116.5,-123.48,90.0,top,D1,,,PinHeader_1x02_P2.54mm_Vertical,On,tht
116.2,-93.26,-90.0,top,J1,,,6404452,+12VDC Input,tht
172.194234,-108.308665,90.0,top,J2,,,640445-5,Power Output,tht
159.54,-108.48,180.0,top,L1,,,22R683C,68µH,tht
113.66,-113.58,0.0,top,Q1,SUP53P06-20-E3,,TO254P465X1028X1931-3P,SUP53P06-20-E3,tht
136.58,-77.549,0.0,top,U1,,,DFR0831,DFR0831,tht
148.14,-123.12,90.0,top,U2,NKE1212SC,,NKE1212SC,NKE1212SC,tht
130.04,-123.48,90.0,top,U3,R-78CK5.0-0.5,,R78CK5005,R-78CK5.0-0.5,tht
